easting,northing,site,nest,year
630360,3343046,N,,2006
630253,3343105,N,,2006
630162,3343202,N,,2006
630010,3343319,N,,2006
629291,3344174,N,,2006
629277,3344235,N,,2006
629200,3344433,N,,2006
629388,3344993,N,,2008
629478,3344880,N,,2007
629683,3345056,N,,2007
629501,3345123,N,,2006
629617,3345297,N,,2006
629745,3345356,N,,2006
629910,3345247,N,,2006
629876,3345394,N,,2006
629842,3345426,N,,2006
630865,3345722,N,,2006
630538,3342981,N,,2020
630442,3343028,N,,2020
630333,3343082,N,,2020
630251,3343103,N,,2020
630295,3343234,N,,2021
630005,3343324,N,,2019
630079,3343355,N,,2020
629932,3343446,N,,2019
629826,3343556,N,,2019
629349,3344066,N,,2020
629276,3344234,N,,2019
629226,3344320,N,,2019
629192,3344458,N,,2020
629285,3344783,N,,2020
629359,3344900,N,,2020
629462,3344895,N,,2019
629388,3345002,N,,2020
629862,3344974,N,,2020
629671,3345048,N,,2020
629513,3345112,N,,2020
629580,3345204,N,,2020
629672,3345229,N,,2020
629761,3345357,N,,2020
629890,3345317,N,,2019
629992,3345453,N,,2020
630105,3345445,N,,2020
630177,3345575,N,,2020
630431,3345524,N,,2020
630550,3345378,N,,2020
630587,3345425,N,,2020
630538,3345597,N,,2020
630620,3345659,N,,2020
630727,3345596,N,,2020
630874,3345814,N,,2020
629194,3344669,N,,2020
629377,3344659,N,,2020
